grid_id,target_temp,bldg_area_sqm,road_length_m
478,45989.0,0.0,544.5526977347522
479,45916.0,0.0,761.7490134873996
480,45988.0,0.0,655.5730733365205
481,46365.0,0.0,1185.6731356740477
482,46158.0,0.0,498.52021687223896
483,46234.0,0.0,814.0588130381553
484,46820.0,2106.460586038693,216.70228330835133
485,47838.0,4752.11385761148,319.56674111169434
486,47194.0,1394.4078773389094,706.5131588076913
487,46671.0,413.13036968497505,897.934198335671
488,46528.0,0.0,943.9576264181195
489,46659.0,1416.4470909845688,436.4391579952978
490,46862.0,2037.1700362271936,108.25930321805366
491,47161.0,3023.8819944716606,1014.0659933762104
492,47144.0,1855.0299606338556,1221.5365345639652
493,47220.0,1400.3348974335915,1124.686498210763
494,47633.0,3349.3623987707183,143.25892367905738
495,47679.0,4015.2664246118143,537.2251324495573
496,47679.0,4023.2538248167652,466.842847377834
497,47692.0,3041.8772634719185,1208.8168605779822
498,47554.0,3267.0898013416727,1057.777392531484
499,47820.0,4212.268360723017,759.4761310400091
500,47981.0,3438.46723985284,1365.7182924074816
501,48047.0,4384.0257458974,1043.7526229838456
502,47819.0,3878.4192242528834,1046.5897159569965
503,47537.0,2217.5859899707148,836.6715667614338
504,47617.0,254.46693066548536,363.6222132267402
505,47888.0,1718.307668525919,76.99144969254272
506,47776.0,2905.458604056005,465.692749567542
507,47945.0,1656.781237687378,646.5346191377167
508,47408.0,0.0,85.79776395085723
509,47771.0,0.0,0.0
510,48037.0,2641.9230839165575,285.00040241043683
511,47509.0,1598.0021963651393,947.5637501209474
512,46856.0,0.0,1967.5862283780787
513,46201.0,0.0,822.7519494985257
514,46265.0,514.1074113230218,382.2501248457522
515,46817.0,1753.5125339238912,757.6887803045468
516,46951.0,688.5405499332703,848.4427369305937
517,46432.0,86.12877136025898,811.2307216648351
518,46246.0,0.0,620.1162749544841
519,46336.0,1110.9857481190284,702.4989395185773
520,46465.0,492.8348694901571,428.1506088380836
521,46523.0,2.7261561153256357,1128.9090840379263
522,46639.0,279.00126725304733,747.4037413555665
523,46855.0,503.5504893075543,774.6565283886634
524,47371.0,3109.2692574846933,186.18778531514528
525,47556.0,2050.359490097895,860.5169687709566
526,47534.0,2407.007762018093,226.2796743367037
527,47359.0,2723.460979339058,378.3006263771307
528,47566.0,3565.1979812809377,303.16814498891466
529,47542.0,3371.3103530950534,772.0847472603757
530,47626.0,2924.0203185643104,1240.3524466974302
531,47727.0,2798.3076407043527,694.7156282651267
532,47605.0,3512.8406002216097,307.86203053718253
533,47876.0,3951.7785230193363,900.204109487304
534,48037.0,3210.2975536808167,1607.45757815065
535,47889.0,3190.97829427966,893.0289128901338
536,47636.0,3074.744707047775,495.27574887519233
